country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
US,"A delicate, almost fragile wine, this opens with tart fruit flavors of strawberry and red plum. There's more than enough acidity, smooth tannins, and a graceful flow to the wine, ending with a light dusting of cocoa.",Arbre Vert Vineyard,88,42.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Siduri 2012 Arbre Vert Vineyard Pinot Noir (Willamette Valley),Pinot Noir,Siduri
US,"This wine also contains 25% Zinfandel and is wildly savage in herb, baked plum jam, tobacco and a strong arm of oak. Midpalate, it takes on more savory peppercorn and herb over fruit, finishing mildly.",Grist Vineyard,86,32.0,California,Dry Creek Valley,Sonoma,Virginie Boone,@vboone,Bradford Mountain 2012 Grist Vineyard Syrah (Dry Creek Valley),Syrah,Bradford Mountain
Spain,"Chunky, roasted, somewhat stalky aromas are big and generous but lack purity. This feels snappy and tannic, while flavors of tomato, herbs and oak end with loamy, baked flavors. This is good stuff but it leans toward tomato sauce in flavor and feel.",Cantos de Valpiedra Crianza,88,20.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Finca Valpiedra 2011 Cantos de Valpiedra Crianza  (Rioja),Tempranillo Blend,Finca Valpiedra
Italy,"The nose opens with black-skinned berry, underbrush and toast aromas. It's firm and fruity on the palate, with black cherry, white pepper and mocha flavors framed by polished tannins. Enjoy through 2020.",,88,17.0,Sicily & Sardinia,Sicilia,,Kerin O’Keefe,@kerinokeefe,Feudo Principi di Butera 2015 Nero d'Avola (Sicilia),Nero d'Avola,Feudo Principi di Butera
Canada,"This 100% varietal cuvée is smoky, supple and detailed. From the first sniff, what comes to mind is spice-rubbed grilled venison. In the glass it's fresh and full, with blackberry and loganberry jam. The freshness, tension and balance are pitch-perfect.",Cuvée Classique,94,45.0,British Columbia,Okanagan Valley,,Paul Gregutt,@paulgwine ,Le Vieux Pin 2012 Cuvée Classique Syrah (Okanagan Valley),Syrah,Le Vieux Pin
US,"The winery's most approachable Cabernet when young, this features notes of chocolate-covered cherry and red and blue berry, intermixed with soft, yet substantial tannins. Peppercorn dances on the palate through the finish. A high-octane intensity suggests that the wine should spend more time in the cellar, through 2021.",,91,50.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Hall 2011 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Hall
Chile,"Lime and passion fruit aromas are subtle and appealing. This delivers a fresh, alert palate and crisp, lightly brined flavors of lettuce, apple and cucumber. On the finish, it runs peppery but not overly aggressive.",Reserve,87,10.0,Maule Valley,,,Michael Schachner,@wineschach,Santa Alba 2014 Reserve Sauvignon Blanc (Maule Valley),Sauvignon Blanc,Santa Alba
US,"This wine is dark, rich and delicious, if a little tannic. Waves of blackberries, currants, anise and dark chocolate lead to a dry but voluptuous finish. Good value in a full-bodied red.",,89,12.0,California,Central Coast,Central Coast,,,Smashberry 2011 Red (Central Coast),Red Blend,Smashberry
US,"The aromas seem slightly dried out, with notes of dried black raspberry, cigar box, herb, fruit leather, vanilla and barrel spice. The flavors are lightly jammy but at the same time the concentration doesn't all seem to be there. The tannins give a gentle squeeze.",Estate Bottled,88,25.0,Washington,Red Mountain,Columbia Valley,Sean P. Sullivan,@wawinereport,Kiona 2014 Estate Bottled Merlot (Red Mountain),Merlot,Kiona
Italy,"This wine is at the top of its class in a new generation of super Tuscan producers. Plush and velvety, it opens with rich aromas of chocolate, cherry, peppercorn, black fruit and cola. Thick extraction sets the tone for a lush wine that requires a few more years in the bottle: Drink after 2012.",Redigaffi,95,275.0,Tuscany,Toscana,,,,Tua Rita 2005 Redigaffi Merlot (Toscana),Merlot,Tua Rita
Italy,"Bold and black with impenetrable thickness and inky tones of blackberry, smoked ham and peppercorn, this is a dense and opulent wine that shows the best of sunny Sicily with spicy overtones and a thick, full feel.",Sole dei Padri,91,55.0,Sicily & Sardinia,Sicilia,,,,Principi di Spadafora 2005 Sole dei Padri Syrah (Sicilia),Syrah,Principi di Spadafora
Spain,"Pungent, feline aromas of sweat and cactus set up a sharp, citric palate that's loaded to the brim with acidity. Austere flavors of passion fruit and lime end with a note of mango along with a wave of citric burn.",S-Naia,85,16.0,Northern Spain,Rueda,,Michael Schachner,@wineschach,Naia 2014 S-Naia Sauvignon Blanc (Rueda),Sauvignon Blanc,Naia
US,"The fruit intensity and depth in this full-bodied and beautifully balanced wine is gorgeous to taste. Black cherry, red cherry and cassis flavors run through it, while velvety tannins add a great mouthfeel. A nice sense of viscosity carries through to the finish.",Single Vineyard,93,72.0,California,Anderson Valley,,Jim Gordon,@gordone_cellars,Donum 2013 Single Vineyard Pinot Noir (Anderson Valley),Pinot Noir,Donum
France,"A firm and structured cru wine from 100-year-old vines that has layers of firm fruits and tannins. It is a wine that is likely to mature well, with its wood aging and dry core. A blend from four parcels, it is concentrated and with a rich black-cherry character. Drink this exceptional wine, from old-vine hunter Stéphane Aviron, starting in 2020.",,94,24.0,Beaujolais,Moulin-à-Vent,,Roger Voss,@vossroger,Stéphane Aviron 2015  Moulin-à-Vent,Gamay,Stéphane Aviron
US,"Grippy and surrounded in a thick, leathery texture and aroma, it holds bright cranberry tones underneath the thickness, making this a palatable Cabernet.",,86,25.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Courtney Benham 2012 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Courtney Benham
South Africa,"Rich and complex, this Cab shows deep black fruit flavors of blackberry and cassis framed by decadent notes of espresso, leather and peppery spice. Like crushed satin in the mouth with ample tannins and a lush fleshy fruit backbone. Accents of menthol appear on the lengthy finish. Drink now.",,89,35.0,Stellenbosch,,,Lauren Buzzeo,@laurbuzz,Kanonkop 2005 Cabernet Sauvignon (Stellenbosch),Cabernet Sauvignon,Kanonkop
South Africa,"Subtle floral notes of violet and carnation introduce the bouquet of this wine, supported by scents of blackberry, blueberry and cherry. The medium-weight palate offers fine but spicy tannins that frame the juicy black plum and berry flavors. Drink now.",,87,12.0,Western Cape,,,Lauren Buzzeo,@laurbuzz,Indaba 2013 Merlot (Western Cape),Merlot,Indaba
US,"Dusty crushed mineral and pressed apple notes lend a rustic tone to this softly effervescent sparkling blend. Stark lemon-lime acidity frazzles the midpalate but leads a brisk, refreshing finish. Drink now through 2018.",Bollicini,86,16.0,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,,Damiani 2014 Bollicini Sparkling (Finger Lakes),Sparkling Blend,Damiani
France,"From vines around the medieval castle, this wine has brilliant cherry flavors that give fruitiness and balancing acidity. There is a refreshing juicy character that is sustained by the subtle touch of tannin. Drink the wine now.",Château de Chanzé,87,18.0,Beaujolais,Beaujolais,,Roger Voss,@vossroger,Vignerons des Pierres Dorées 2015 Château de Chanzé  (Beaujolais),Gamay,Vignerons des Pierres Dorées
Italy,"This wine is the white partner to Masi's familiar Campfiorin. In this case, it is the 25% of Verduzzo grapes in the blend that have gone through the drying process known as passito. The 75% of Pinot Grigio adds spice, while the Verduzzo gives great richness and ripeness.",Masianco,90,12.0,Northeastern Italy,Delle Venezie,,Roger Voss,@vossroger,Masi 2002 Masianco White (Delle Venezie),White Blend,Masi
Chile,"Aromas of vanilla and pear are mild on the nose. This feels heavy and chunky, with low acidity. Vanilla, melon and papaya flavors taste as though they're on the way out, while this soft Chardonnay feels oily on the finish.",Reserva de Familia,85,20.0,Limarí Valley,,,Michael Schachner,@wineschach,Santa Carolina 2013 Reserva de Familia Chardonnay (Limarí Valley),Chardonnay,Santa Carolina
Argentina,"A long with aromas of dried cheese, earth and rubber, there's enough clean black fruit to bring it home. The palate is snappy and fresh, with edgy, lively plum and berry flavors. The finish is short but offers some flashes of quality. Basic but solid Cab.",,85,9.0,Mendoza Province,Tupungato,,Michael Schachner,@wineschach,Tupun 2006 Cabernet Sauvignon (Tupungato),Cabernet Sauvignon,Tupun
Germany,"While the nose is demure, suggesting only a hint of muted apple and pear, the sweet-tart palate on this spry wine is full of yellow-cherry flavor. Bracing acidity wraps the finish up tight and brisk.",Goldtröpfchen Spätlese,87,33.0,Mosel,,,Anna Lee C. Iijima,,Reichsgraf von Kesselstatt 2013 Goldtröpfchen Spätlese Riesling (Mosel),Riesling,Reichsgraf von Kesselstatt
US,"Here's a sound, everyday-style Cabernet for drinking now. It's dry and tannic, with rich flavors of blackberries, black currants and plums, enhanced with sweet, smoky oak.",,85,19.0,California,Napa Valley,Napa,,,Bigvine 2006 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Bigvine
US,"A blend of Marsanne and Grenache Blanc, with a dribble of Roussanne, this offers fruit that falls on the cool side of tropical. It has fine balance and length.",Boushey Vineyard L'Entente Blanc,88,27.0,Washington,Yakima Valley,Columbia Valley,Paul Gregutt,@paulgwine ,Ott & Murphy 2011 Boushey Vineyard L'Entente Blanc White (Yakima Valley),Rhône-style White Blend,Ott & Murphy
US,"Grippy and robustly powerful, this wine has a plethora of pleasing cedar and red fruit that provide structure and definition. It finishes in classically dusty tannin and tobacco. Drink now through 2020.",,90,40.0,California,Rutherford,Napa,Virginie Boone,@vboone,Magic Door 2012 Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,Magic Door
US,"A rich, sleek Cabernet, made in a controlled manner emphasizing dry elegance rather than massive fruit. You'll find complex blackberry, tobacco and mocha flavors, wrapped into firm tannins. Now–2014.",Reserve,92,95.0,California,Napa Valley,Napa,,,Armanino Family Cellars 2008 Reserve Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Armanino Family Cellars
US,"Here's a big, fruity, jammy Cabernet. It shows ripe, candied flavors of cherries, raspberries and chocolate, with polished tannins and a dry, spicy finish.",L de Lyeth,85,13.0,California,Sonoma County,Sonoma,,,Lyeth 2007 L de Lyeth Cabernet Sauvignon (Sonoma County),Cabernet Sauvignon,Lyeth
France,"A majestic wine, grand in every sense. It has weight, the firmest of tannins and an immense sense of structure. This neighbor of Château Pétrus is firmly dense, showing both the fruits and the tannins in balance. Give this wine at least 10 years in the cellar.",,95,398.0,Bordeaux,Pomerol,,Roger Voss,@vossroger,Château la Fleur-Pétrus 2010  Pomerol,Bordeaux-style Red Blend,Château la Fleur-Pétrus
Portugal,"This wine is definitely woody, with tough toast over the fruit flavors and mineral texture, yielding a bitter, extracted character that will always feel dry. However, give it until 2016 and the fruit may get a chance to shine.",Cabriz Colheita Seleccionada,85,,Dão,,,Roger Voss,@vossroger,Dão Sul 2013 Cabriz Colheita Seleccionada Red (Dão),Portuguese Red,Dão Sul
Italy,"This classic Amarone has a layered bouquet, with notes of prune, plum, nutmeg and clove, along with bell pepper notes. The palate delivers ripe blackberry and plum flavors, with hints of black pepper and chocolate. While this is very structured, restraint and freshness add elegance.",,92,85.0,Veneto,Amarone della Valpolicella Classico,,Kerin O’Keefe,@kerinokeefe,Allegrini 2009  Amarone della Valpolicella Classico,Red Blend,Allegrini
Romania,"Deeply concentrated on the nose with pure black fruit and whiffs of toast and wood, this Merlot packs a lot of bang for the buck. Full bodied and dry, it's mellow but bright, overflowing with cassis and black cherry flavors and a fresh, herbal finish.",Frunza,87,7.0,Viile Timisului,,,Anna Lee C. Iijima,,Cameron Hughes 2009 Frunza Merlot (Viile Timisului),Merlot,Cameron Hughes
US,"This is a lavish, layered and lovely wine from an extreme coastal vineyard above Cambria. It shows fresh-cut fennel, wild mint, dried lavender, Earl Grey tea and cran-raspberry aromas on the great nose. The palate's strong herbal character of crushed sagebrush, wild thyme and black pepper spices up the dark plum and strawberry flavors.",Giacomino Reserve,94,55.0,California,San Luis Obispo County,Central Coast,Matt Kettmann,@mattkettmann,Cutruzzola 2013 Giacomino Reserve Pinot Noir (San Luis Obispo County),Pinot Noir,Cutruzzola
Spain,"Dusty, clammy, white fruit aromas are generic. This is pulpy in feel with a vague focus. Leesy, pithy citrus flavors are standard and short on personality, while this finishes adequately with a mild citric lift.",,87,17.0,Galicia,Rías Baixas,,Michael Schachner,@wineschach,La Val 2014 Albariño (Rías Baixas),Albariño,La Val
US,"This delicate wine, a medley of rose petals, cherries and a streak of cola, is labeled simply Oregon due to TTB regulations, but in fact is a single-vineyard effort from the Yamhill-Carlton AVA. It's pale and pretty, and seems to be on a fast track for aging. Drink now through 2017 and you're in for an elegant and complex Pinot.",,90,28.0,Oregon,Oregon,Oregon Other,Paul Gregutt,@paulgwine ,Animale 2012 Pinot Noir (Oregon),Pinot Noir,Animale
US,"This 100% Sauvignon Blanc is made in a ripe style, with refreshing acidity. The complex flavors range from tart gooseberries, limes and kumquats to golden mangoes, with lots of vanilla and sweet toast notes from the new oak.",Hudson Vineyard,88,40.0,California,Napa Valley,Napa,,,Ma(i)sonry 2011 Hudson Vineyard Sauvignon Blanc (Napa Valley),Sauvignon Blanc,Ma(i)sonry
Italy,"This dry rosé sparkling blend would pair with easy appetizers or fried vegetable tempura. The wine is sharp and crisp, with a steely effervescent close. Bardolino Chiaretto is from the shores of Lake Garda in northern Italy.",Rosé,83,,Veneto,Bardolino Chiaretto,,,,Vigneti Villabella NV Rosé  (Bardolino Chiaretto),Sparkling Blend,Vigneti Villabella
US,"Borra is having fun in Lodi experimenting with both red and white blends of varieties not usually put together —here, it's 89% Viognier and 11% Gewürztraminer—with worthwhile results. White Fusion starts with a severe lemony crispness, segues into oaky caramel and finishes bittersweet.",White Fusion,86,17.0,California,Lodi,Central Valley,Virginie Boone,@vboone,Borra 2010 White Fusion White (Lodi),White Blend,Borra
US,"A clean, classic minerality leads on this unique and food-friendly Chardonnay. On the palate, fresh fruit flavors mingle with a touch of oak, and the finish offers both length and character.",,84,11.0,New York,Finger Lakes,Finger Lakes,Susan Kostrzewa,@suskostrzewa,Wagner 2005 Chardonnay (Finger Lakes),Chardonnay,Wagner
US,"Made from Robert Young-cloned grapes, this wine is perfumed in exotic lychee and briny, salty oak. Fulsome flavors of apple skin are generously expansive on the full-bodied palate.",,90,33.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Mira 2016 Chardonnay (Napa Valley),Chardonnay,Mira
Spain,"This blend of Garnacha and Cabernet Sauvignon is a dense, ripe bruiser with huge blackberry aromas that set up a wide-bodied, raw-feeling palate with tons of extract and monster tannins. Blackberry, espresso, chocolate and spice flavors are full, ripe and deep. Things hold firm on a staunch, youthful finish. Drink through 2021.",Nus del Terrer,92,50.0,Catalonia,Tarragona,,Michael Schachner,@wineschach,Vinyes del Terrer 2010 Nus del Terrer Red (Tarragona),Red Blend,Vinyes del Terrer
Argentina,"Seems like quality and character are slipping a bit on this Malbec, which a few years ago overdelivered but is now more average. Red licorice, strawberry and sweetness characterize the nose. The palate is sweet and generic, while the finish is pretty much the same. Perfectly good but not the gem it used to be.",,86,12.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Pascual Toso 2009 Malbec (Mendoza),Malbec,Pascual Toso
US,"A blend of 52% Cabernet Sauvignon, 24% Cab Franc, 17% Merlot and 7% Petit Verdot, the seventh edition of Mark Ryan's iconic Dead Horse is, as expected, a tannic, liquorous, sweet and ripe wine, loaded with flavors of black cherry, plenty of barrel toast and chocolaty tannins.",Dead Horse Ciel du Cheval Vineyard Red Wine,91,45.0,Washington,Red Mountain,Columbia Valley,Paul Gregutt,@paulgwine ,Mark Ryan 2006 Dead Horse Ciel du Cheval Vineyard Red Wine Red (Red Mountain),Red Blend,Mark Ryan
France,"More toasty than fruity at this stage, this is a finely made wine with vanilla flavors that dominate the ripe tropical fruits underneath. Give it a year and the wine will balance out richly and smoothly.",,91,,Bordeaux,Bordeaux Blanc,,Roger Voss,@vossroger,Château Tour de Mirambeau 2012  Bordeaux Blanc,Bordeaux-style White Blend,Château Tour de Mirambeau
Austria,"A touch of flint meets yeasty, herbal notes of chervil and white pepper. The palate plays these two off each other and adds a generous dollop of pure, linear lemon zest to brighten and heighten everything. Lasting zestiness makes for an ultraclean, very refreshing finish on a very concentrated, taut body.",Achleiten Smaragd,92,45.0,Wachau,,,Anne Krebiehl MW,@AnneInVino,Jäger 2014 Achleiten Smaragd Grüner Veltliner (Wachau),Grüner Veltliner,Jäger
Austria,"A combination of grapefruit zest, russet-pear peel, ripe apple and fresh lemon creates a nose and palate that are alluring, refreshing and very fruity. A bit of that zestiness is also apparent on the midpalate texture that delivers crunch, finesse and an enlivening purity. The finish is dry and long, full of moreish juiciness.",Engelsberg,93,25.0,Traisental,,,Anne Krebiehl MW,@AnneInVino,Markus Huber 2016 Engelsberg Riesling (Traisental),Riesling,Markus Huber
Argentina,"Fiery and crisp, with decent berry and cherry aromas giving it character. The palate is medium to racy, with zesty raspberry, cherry and rhubarb flavors. Finishes short and a little prickly, with heat and a hint of chocolate. Very basic, but by no means a bad wine.",,84,12.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Tercos 2006 Malbec (Mendoza),Malbec,Tercos
US,"The nose on this wine from the Willow Creek area plays between the lighter elements of bright red cherries and heavier hints of tar, with a bit of sour plum thrown in as well. The palate is loaded with chalky tannins, offering flavors of black cherries and licorice, but it could use some more time in bottle.",Westside Estate Bottled,88,32.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Dunning Vineyards 2012 Westside Estate Bottled Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,Dunning Vineyards
France,"This soft, medium-dry wine has attractive spice and fresh yellow-fruit flavors. It is bright, feeling light with its poised acidity and crisp aftertaste.",Harth,85,23.0,Alsace,Alsace,,Roger Voss,@vossroger,Robert Karcher et Fils 2013 Harth Pinot Gris (Alsace),Pinot Gris,Robert Karcher et Fils
Spain,"Of all the Angosto 2011s, El Jefe del Tribu is the most smoky and roasted of the group. Savory aromas of beef jerky and baked blackberry filter onto a ripe, slightly flat palate. Flavors of baked black fruits are gritty and mildly stalky, while the finish tastes of cooked berry fruits and generic blackness.",El Jefe de la Tribu,89,25.0,Levante,Valencia,,Michael Schachner,@wineschach,Angosto 2011 El Jefe de la Tribu Red (Valencia),Red Blend,Angosto
Australia,"Yellow fruit nuances abound in this slightly sweet-tasting offering from an area better known for growing Cabernet. Pear, pineapple and lemon aromas and flavors predominate, finishing with a bit of heat and slightly rough acids.",,84,9.0,South Australia,Coonawarra,,Joe Czerwinski,@JoeCz,Wynns Coonawarra Estate 2001 Chardonnay (Coonawarra),Chardonnay,Wynns Coonawarra Estate
France,"A classic from Savoie, this fresh, crisp wine is fruity, with attractive creamed pear and apple flavors. Light and bright, it's perfect for après-ski in the nearby Alps. Drink now.",Apremont,88,17.0,France Other,Vin de Savoie,,Roger Voss,@vossroger,Les Rocailles 2014 Apremont Jacquère (Vin de Savoie),Jacquère,Les Rocailles
New Zealand,"On the herbal-vegetal side of the Sauvignon Blanc spectrum, but manages to balance those elements with red pepper and nectarine flavors in a plump, easygoing style. Served with a cold vegetable terrine, this would be very stylish. Drink now.",,88,18.0,Marlborough,,,Joe Czerwinski,@JoeCz,Blocks 2007 Sauvignon Blanc (Marlborough),Sauvignon Blanc,Blocks
Spain,"Despite persistent gaseous, rubbery aromas, this is superb in the mouth, with bright acidity and a firm, unwavering structure. Plum, raspberry and integrated oak create a fine flavor profile, while the finish offers cocoa powder and toast notes along with juicy acidity. Drink now through 2025.",Gran Reserva,92,50.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Viña Olabarri 2001 Gran Reserva  (Rioja),Tempranillo Blend,Viña Olabarri
Italy,"Bright and fragrant, this luminous wine opens with aromas of rose, violet and crushed raspberry. The juicy palate delivers mouthfuls of sour cherry and cinnamon alongside fresh acidity and supple tannins that give a silky texture.",Martinenga,90,22.0,Piedmont,Langhe,,Kerin O’Keefe,@kerinokeefe,Tenute Cisa Asinari dei Marchesi di Gresy 2013 Martinenga Nebbiolo (Langhe),Nebbiolo,Tenute Cisa Asinari dei Marchesi di Gresy
Portugal,"From an estate in the south of the Alentejo, this is a rich, hot-country wine. It is firm, densely structured and with solid, dark tannins. There is a juicy black fruit background to this dense wine that gives a lift. Still young, this dark and very concentrated wine will be better from 2018.",Grande Reserva Tinto,91,26.0,Alentejano,,,Roger Voss,@vossroger,Casa Santa Vitória 2013 Grande Reserva Tinto Red (Alentejano),Portuguese Red,Casa Santa Vitória
US,"If your love of animals knows no bounds, then this is the wine for you—Serene is named after a dog. Caravintas supports animal shelter, service and rescue groups so the cause is good. The wine? It has a cordial cherry liqueur or Schnapps flavor; its acidity is disheveled.",Serene Rose of Tempranillo,84,17.0,California,Dunnigan Hills,Central Valley,Virginie Boone,@vboone,Carivintas 2010 Serene Rose of Tempranillo Rosé (Dunnigan Hills),Rosé,Carivintas
Argentina,"A rich and creamy wine with good structure and plenty of fruit. The nose yields berry essence, vanilla and smoky wood notes, while the palate has depth, layering and composed flavors. There's coffee and chocolate on the finish, and the texture and length seem just right. It's oaky for sure, but this vintage of Q can handle it. Drink now through 2012.",Q,91,22.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Zuccardi 2006 Q Malbec (Mendoza),Malbec,Zuccardi
US,"At the age of five years or so, the cherry, currant and chocolate fruit is starting to pick up aged characteristics, softening and growing mellow and earthy. It's at an awkward stage, midway between youth and maturity. It's a gamble, but try giving it another six years.",,88,85.0,California,Napa Valley,Napa,,,Fourteen Appellations 2008 Meritage (Napa Valley),Meritage,Fourteen Appellations
US,"Black as night, it offers classic characteristics. Oodles of black pepper on the nose and palate are seasoned over soft, lush tannins and hearty layers of licorice, dark chocolate and coffee. It's ready to enjoy now but will also grow gracefully over many years.",Reserve,91,45.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Spellbound 2009 Reserve Petite Sirah (Napa Valley),Petite Sirah,Spellbound
US,"Pronounced minerality and fresh, bright fruit are balanced nicely in this stylish wine. A touch of spice adds dimension. Pair with poultry dishes.",,86,10.0,New York,Finger Lakes,Finger Lakes,Susan Kostrzewa,@suskostrzewa,Prejean 2006 Chardonnay (Finger Lakes),Chardonnay,Prejean
US,"Sourced from the Whistling Ridge Vineyard, this was previously bottled under the winemaker's Matello label. It's packed with apple and pear fruit flavors, supported with ample acidity. Smooth and fleshy, its 50% new oak remains subtly integrated, with highlights of caramel and butter peeking out. It's well balanced, but you'll note that there are tartaric crystals (utterly harmless) clinging to the cork, suggesting that it was not cold stabilized. Drink soon.",Richard's Cuvée,92,36.0,Oregon,Ribbon Ridge,Willamette Valley,Paul Gregutt,@paulgwine ,Goodfellow 2013 Richard's Cuvée Chardonnay (Ribbon Ridge),Chardonnay,Goodfellow
France,"The wine is candied and sherbet-flavored. Acidity gives some freshness, but it feels artificial and light.",,83,22.0,Burgundy,Viré-Clessé,,Roger Voss,@vossroger,Manuel Seguin 2012  Viré-Clessé,Chardonnay,Manuel Seguin
Italy,"This ruby-colored Valpolicella is distinguished by hot notes of cherry liqueur and spice backed by subtle tones of wild berry and fresh blueberry. It's an easy, soft wine in the mouth.",,85,,Veneto,Valpolicella Superiore,,,,San Cassiano 2007  Valpolicella Superiore,"Corvina, Rondinella, Molinara",San Cassiano
Austria,"This is a crisp, green-fruited wine with all its flavors concentrated in a full, fruity character. It has citrus and lively mineral notes, with a juicy texture. Ripe and rich yet not heavy, it's almost drinkable now. Screwcap.",Spiegl,89,15.0,Kamptal,,,Roger Voss,@vossroger,Rabl 2011 Spiegl Grüner Veltliner (Kamptal),Grüner Veltliner,Rabl
US,"Very, sweet, with molasses, oatmeal cookie, blackberry jam, chocolate, vanilla and spice flavors. Could be more concentrated for the sweetness. The blend is mainly Petite Sirah, with the balance comprised of traditional Port varieties.",Noble Companion 10 Year Old Tawny,88,55.0,California,Napa Valley,Napa,,,Prager NV Noble Companion 10 Year Old Tawny Port (Napa Valley),Port,Prager
Italy,"The Il Tralcetto line (pretty bottles fastened with a snippet of grapevine on the neck of the bottle) continues with this bright, ruby-colored Pinot Nero. The wine opens with wild berry and forest floor aromas and offers bright, easy freshness on the close.",Il Tralcetto,84,12.0,Veneto,Veneto,,,,Cescon Italo Storia e Vini 2008 Il Tralcetto Pinot Nero (Veneto),Pinot Nero,Cescon Italo Storia e Vini
Canada,"Dark and silky, this bursts open with ripe plum and black cherry fruit. Streaks of smoke and iron run through, along with highlights of bright citrus. Sweet toast and dark chocolate flavors wrap up a long and most satisfying finish. Drink now through 2024.",Estate Grown,92,65.0,British Columbia,Okanagan Valley,,Paul Gregutt,@paulgwine ,Painted Rock 2010 Estate Grown Syrah (Okanagan Valley),Syrah,Painted Rock
US,"Arger-Martucci hits bigtime with this Cabernet Franc-based Bordeaux-style blend. It marches in a different direction from the soft cult style, showing brisk acidity, hard tannins and relatively moderate alcohol. Yet there's nothing light about the complex blackberry, cherry and currant flavors. Wonderful to drink now, and it will reward aging over the next 5–6 years.",Estate Reserve,94,50.0,California,Napa Valley,Napa,,,Arger-Martucci 2007 Estate Reserve Red (Napa Valley),Bordeaux-style Red Blend,Arger-Martucci
France,"This is a ruggedly built Côtes du Rhône, showing a rich texture and a coarse but long finish. Along the way, it delivers a mix of plums, pie cherries and dusty sun-baked earth aromas and flavors. Drink now–2020.",,89,20.0,Rhône Valley,Côtes du Rhône,,Joe Czerwinski,@JoeCz,Domaine de la Graveirette 2013 Red (Côtes du Rhône),Rhône-style Red Blend,Domaine de la Graveirette
France,"A concentrated wine that is the epitome of dark, dense Malbec. Spice, tense acidity, black fruits, dark plums and licorice are all present in this impressive, dense wine. The power in this dense wine is very evident, expressed right up front. It should age, so drink from 2017.",Les Graves de Paul,92,35.0,Southwest France,Cahors,,Roger Voss,@vossroger,Château Vincens 2009 Les Graves de Paul Malbec (Cahors),Malbec,Château Vincens
France,"The entry-level wine from Sacha Lichine's Château d'Esclans. It is soft, broad, with more caramel and spice than fruit. It is definitely a food, not an apéritif, wine.",Whispering Angel,87,20.0,Provence,Côtes de Provence,,Roger Voss,@vossroger,Château d'Esclans 2009 Whispering Angel Rosé (Côtes de Provence),Rosé,Château d'Esclans
France,"Ripe and jammy, this offers juicy red berry and plum fruits. It has a dense character with tannins giving shape to the attractive, ready-to-drink fruitiness.",Cuvée Première de Jean-Paul Brun,87,15.0,Beaujolais,Beaujolais,,Roger Voss,@vossroger,Jean-Paul Brun 2014 Cuvée Première de Jean-Paul Brun  (Beaujolais),Gamay,Jean-Paul Brun
France,"This nonvintage cuvée from Lombard is soft and fruity with a relatively high dosage that gives a rounded character. Red apple and a light touch of spice balance with the full acidity. The bottling tasted here is young, so it would be worth keeping until the end of 2015.",Brut Réference,87,35.0,Champagne,Champagne,,Roger Voss,@vossroger,Lombard et Cie NV Brut Réference  (Champagne),Champagne Blend,Lombard et Cie
Argentina,"Leafy tomato, dried cherry and baked plum aromas cover most ends of the Pinot spectrum. This feels round, ripe and a touch tannic, while oaky flavors of vanilla and chocolate dominate, ending with more than a dash of wood spice.",Primogénito,88,22.0,Other,Patagonia,,Michael Schachner,@wineschach,Bodega Patritti 2012 Primogénito Pinot Noir (Patagonia),Pinot Noir,Bodega Patritti
US,"In just a few years 14 Hands Riesling production has jumped from around 15,000 to more than 700,000 cases. Clearly the brand is doing something that consumers love. This is a fairly dry style, with forward, fruity flavors of ripe orange, apple and apricot. The length and concentration are spot on.",,88,10.0,Washington,Washington,Washington Other,Paul Gregutt,@paulgwine ,14 Hands 2013 Riesling (Washington),Riesling,14 Hands
France,"Sure, it starts out a bit toasty and cedary, but that wood will surely integrate with the potent plummy, meaty fruit given a few years' time. It's full bodied and a bit coarsely textured for the moment, but finishes long and will clearly benefit from cellaring. Drink 2018–2025.",Domaine de Saint Pierre,93,130.0,Rhône Valley,Cornas,,Joe Czerwinski,@JoeCz,Paul Jaboulet Aîné 2009 Domaine de Saint Pierre  (Cornas),Syrah,Paul Jaboulet Aîné
